company_fyi,ticker,period,announcement_date,listing_region,industry,ai_mentioned,layoff_count,layoff_pct,CAR_1_1,CAR_0_1,CAR_0_5,CAR_0_20,CAR_5_60,alpha_ff4,beta_mkt_ff4,r2_ff4,n_est_obs
Rivian,RIVN,post_genai,2023-02-01,US,Transportation,0,,6%,-0.01961280981443441,-0.06001362760394315,-0.00498389288627743,-0.1031352996436454,-0.0992512813551128,-0.003109573227945571,1.2666970553204733,0.5438536909776079,250
Rivian,RIVN,post_genai,2023-12-07,US,Transportation,0,20.0,,0.07630267060826286,0.025810717882100345,0.12659571144254983,0.02386160778910617,-0.3598753052671388,-0.0020932229283840958,1.7528387904350944,0.3416371196304483,250
Rivian,RIVN,post_genai,2025-06-26,US,Transportation,0,140.0,1%,-0.023972550168774698,-0.02803761404699795,-0.10895333585117953,-0.07731719603620485,-0.053033725492954195,0.0009214408214882116,0.9815743064389765,0.21935055535031134,250
Rocket Companies,RKT,post_genai,2025-07-18,US,Real Estate,0,,2%,0.10189532213639653,0.10196566116628936,0.08650481425633244,0.29568694130329826,0.13003092960821114,0.0012262886330365566,0.3004178104938419,0.13539205989993486,250
RingCentral,RNG,pre_genai,2022-08-04,US,Support,0,50.0,,-0.1475531984338383,-0.13846999910879523,-0.07470356445360991,0.030966531950388385,-0.023873243241944165,-0.0033147738925956307,1.3150044915738848,0.6341943403528794,250
Roku,ROKU,pre_genai,2022-11-17,US,Media,0,200.0,7%,0.08610575396407547,0.04347600938940811,0.05958239423719038,-0.051992567834022535,-0.09763612258008211,-0.00174156449065596,1.1656500823455793,0.6223187872230994,250
Rapid7,RPD,post_genai,2023-08-08,US,Security,0,470.0,18%,0.1052994437961819,0.11634023820770001,0.2032670423070274,0.24594572106922832,0.3525873781296314,-0.0020084329131893008,0.9654125858727858,0.3804425663359394,250
Riskified,RSKD,post_genai,2024-02-13,US,Retail,0,40.0,6%,-0.009002332157651147,-0.017378185505711637,-0.0301338884358934,0.15457695110017083,0.2062482780241422,-0.0016945138727568715,0.9026765439356385,0.2581775811595495,250
Riskified,RSKD,post_genai,2025-02-19,US,Retail,0,,,-0.052064788527402546,-0.03928956712810322,-0.05993137490446106,-0.10906819903513224,-0.03688909672034343,0.0002419988508091808,0.9336852430654976,0.25985395857214266,250
SentinelOne,S,post_genai,2023-06-01,US,Security,0,,5%,-0.40101922774260473,-0.4123224783638522,-0.3201092003859791,-0.3156675280407101,-0.009138879742859993,-0.0010488659839681164,0.8323032213176149,0.5186416149246157,250
Sabre,SABR,post_genai,2023-05-04,US,Travel,0,1100.0,15%,-0.07501754629844977,-0.0880983196893156,-0.12092114067386198,-0.15877069565475194,0.03564371679265068,-0.0026388463210607963,1.2968828250485287,0.47366969956664395,250
SAP,SAP,post_genai,2023-01-26,US,Other,0,3000.0,3%,-0.048948346981257856,-0.04748782622009211,0.0004752127428888468,-0.028167715209308077,0.07382277095808294,0.00012005263019168377,0.8589341943205409,0.568023783302611,250
SAP,SAP,post_genai,2024-01-23,US,Other,0,8000.0,7%,0.060675189197007415,0.06561493474074413,0.05898331495924456,0.03082031769448492,0.024359794691049402,0.0006689513880323911,0.8897424122332578,0.3699593172386153,250
Satellogic,SATL,post_genai,2024-05-24,US,Aerospace,0,34.0,13%,-0.16042543992967534,0.04315228338147554,0.015046895231276863,-0.05905621701690009,-0.1967800500011102,-0.0011454445303380452,0.969161185379358,0.014814194219291754,250
Springbig,SBIG,pre_genai,2022-12-01,US,Sales,0,37.0,23%,0.0034981604872313166,0.042157369074022163,-0.16856835527247505,-0.2929239527410157,0.5805028019792713,-0.004161034377743953,0.6652256470281507,0.06748880726283846,250
SolarEdge,SEDG,post_genai,2024-01-21,US,Energy,0,900.0,16%,0.016001308367540688,0.025538048819149183,0.007972819732944968,0.2724200161916823,0.14605830180978854,-0.0048392312148581515,1.6944434176161571,0.3360011401179577,250
Stitch Fix,SFIX,pre_genai,2020-06-01,US,Retail,0,1400.0,18%,0.012043666935488927,0.011533854889109125,-0.10459620538976278,0.011875778665504592,-0.026072141477936406,0.00017404270537988142,1.0443740316966554,0.33009531657521796,250
Stitch Fix,SFIX,pre_genai,2022-06-09,US,Retail,0,330.0,15%,-0.10511765872763323,-0.17003332843884664,-0.040298800694803946,-0.33656479511891346,-0.16811407886487198,-0.003727334902468446,1.4828846879841633,0.43355058641716304,250
Stitch Fix,SFIX,post_genai,2023-01-05,US,Retail,0,,20%,0.17027062795290854,0.14473280396625263,0.15898804156153137,0.13256773653811166,0.5864559405309696,-0.003488013863017116,1.2810615674417254,0.5402591174863889,250
Stitch Fix,SFIX,post_genai,2023-07-12,US,Retail,0,400.0,,-0.057510332323910215,-0.05211463459702545,-0.06923570406750068,-0.038799664233891556,0.05237523008426255,-0.0009363702067153602,1.0116259639568783,0.4803067779066994,250
Shopify,SHOP,pre_genai,2020-08-14,US,Retail,0,30.0,,-0.025513301030063988,-0.012323033175932281,-0.055848895578089336,-0.15689739434401806,-0.42158323436394973,0.002749892500558704,1.3153278602050207,0.48787554614152906,250
Shopify,SHOP,pre_genai,2022-07-06,US,Retail,0,50.0,,-0.041077878444307936,-0.018246862058793473,-0.007752568991500536,0.023022325631874577,-0.05789222576465442,-0.001554845287779859,1.8457253551368245,0.6404371749846145,250
