company,location,total_laid_off,date,announcement_date_verified,percentage_laid_off,industry,sourceweb,stage,funds_raised,country,notes,source,ai_mentioned
Dropbox,SF Bay Area,528,10/30/2024,,0.2,Data,https://techcrunch.com/2024/10/30/dropbox-is-laying-off-20-of-its-staff/,Post-IPO,1700,United States,Strategy shift,crunchbase,0
Tesla,Austin,14000,4/15/2024,,0.1,Transportation,https://www.nytimes.com/2024/04/15/business/tesla-layoff-elon-musk.html,Post-IPO,408,United States,Reported >10%,crunchbase,0
Expedia,Seattle,1500,2/26/2024,,0.09,Consumer,https://www.reuters.com/technology/expedia-cut-about-1500-jobs-latest-restructuring-2024-02-26/,Post-IPO,,United States,,crunchbase,0
DocuSign,SF Bay Area,400,2/6/2024,,0.06,Other,https://www.reuters.com/technology/docusign-cut-6-its-workforce-part-restructuring-plan-2024-02-06/,Post-IPO,540,United States,,crunchbase,0
Okta,SF Bay Area,400,2/1/2024,,0.07,Security,https://techcrunch.com/2024/02/01/okta-layoffs-400-employees/,Post-IPO,230,United States,,crunchbase,0
Block,SF Bay Area,1000,1/30/2024,,0.077,Finance,https://www.reuters.com/technology/jack-dorseys-block-starts-cutting-jobs-under-previously-disclosed-plan-source-2024-01-30/,Post-IPO,590,United States,Approx from plan,crunchbase,0
PayPal,SF Bay Area,2500,1/30/2024,,0.09,Finance,https://www.reuters.com/business/payments-firm-paypal-cut-around-2500-jobs-bloomberg-news-2024-01-30/,Post-IPO,216,United States,,crunchbase,0
SAP,Walldorf,8000,1/24/2024,,0.07,Other,https://www.reuters.com/technology/sap-announces-company-wide-restructuring-updates-2025-outlook-2024-01-23/,Post-IPO,,Germany,,crunchbase,1
eBay,SF Bay Area,1000,1/23/2024,,0.09,Retail,https://www.reuters.com/business/ebay-slash-1000-jobs-scale-back-contracts-2024-01-24/,Post-IPO,11.2,United States,,crunchbase,0
Wayfair,Boston,1650,1/19/2024,,0.13,Retail,https://www.reuters.com/business/retail-consumer/wayfair-cut-1650-jobs-2024-01-19/,Post-IPO,1300,United States,,crunchbase,0
Unity,SF Bay Area,1800,1/8/2024,,0.25,Media,https://www.reuters.com/technology/unity-software-cutting-25-staff-company-reset-continuation-2024-01-08/,Post-IPO,894,United States,,crunchbase,0
Xerox,Norwalk,3000,1/3/2024,,0.15,Hardware,https://www.cbsnews.com/news/xerox-layoffs-15-percent-workers-printers/,Post-IPO,,United States,Approx from 15%,crunchbase,0
Spotify,Stockholm,1500,12/4/2023,,0.17,Media,https://www.reuters.com/technology/spotify-reduce-staff-by-17-second-layoff-this-year-2023-12-04/,Post-IPO,2060,Sweden,,crunchbase,0
Nokia,Espoo,14000,10/19/2023,,,Hardware,https://www.reuters.com/business/media-telecom/nokia-sales-drop-slowing-5g-gear-demand-2023-10-19/,Post-IPO,,Finland,Up to figure,crunchbase,0
Amazon,Seattle,9000,3/20/2023,,,Retail,https://www.reuters.com/technology/amazon-lay-off-9000-more-workers-cnbc-2023-03-20/,Post-IPO,8,United States,,crunchbase,0
Meta,SF Bay Area,10000,3/14/2023,,,Consumer,https://www.reuters.com/technology/facebook-parent-meta-lay-off-10000-employees-second-round-job-cuts-2023-03-14/,Post-IPO,25600,United States,,crunchbase,0
Twilio,SF Bay Area,1500,2/13/2023,,0.17,Other,https://www.reuters.com/technology/twilio-cut-17-staff-close-offices-focus-profitability-2023-02-13/,Post-IPO,234,United States,,crunchbase,0
Zoom,SF Bay Area,1300,2/7/2023,,0.15,Other,https://www.reuters.com/technology/zoom-cut-headcount-by-15-2023-02-07/,Post-IPO,157,United States,,crunchbase,0
eBay,SF Bay Area,500,2/7/2023,,0.04,Retail,https://www.reuters.com/technology/ebay-lay-off-500-employees-2023-02-07/,Post-IPO,11.2,United States,,crunchbase,0
Dell,Austin,6650,2/6/2023,,0.05,Hardware,https://www.reuters.com/technology/dell-slash-about-6650-jobs-bloomberg-news-2023-02-06/,Post-IPO,,United States,,crunchbase,0
PayPal,SF Bay Area,2000,1/31/2023,,0.07,Finance,https://www.reuters.com/technology/paypal-lay-off-7-its-workforce-2023-01-31/,Post-IPO,,United States,,crunchbase,0
Alphabet,SF Bay Area,12000,1/20/2023,,0.06,AI,https://www.reuters.com/business/google-parent-lay-off-12000-workers-memo-2023-01-20/,Post-IPO,,United States,,crunchbase,1
Microsoft,Seattle,10000,1/18/2023,,,Other,https://www.reuters.com/technology/microsoft-cut-10000-jobs-tech-layoffs-intensify-2023-01-18/,Post-IPO,,United States,,crunchbase,0
HP,SF Bay Area,6000,11/22/2022,,0.12,Hardware,https://www.reuters.com/business/hp-cut-up-6000-jobs-2022-11-22/,Post-IPO,5250,United States,,crunchbase,0
Amazon,Seattle,10000,11/14/2022,,,Retail,https://www.reuters.com/business/retail-consumer/amazon-plans-lay-off-10000-people-starting-this-week-nyt-2022-11-14/,Post-IPO,8,United States,Early report,crunchbase,0
Meta,SF Bay Area,11000,11/9/2022,,0.13,Consumer,https://www.reuters.com/technology/meta-cut-more-than-11000-jobs-one-biggest-us-layoffs-this-year-2022-11-09/,Post-IPO,25600,United States,,crunchbase,0
Robinhood,SF Bay Area,780,8/2/2022,,0.23,Finance,https://www.reuters.com/technology/robinhood-cutting-workforce-by-23-2022-08-02/,Post-IPO,5600,United States,Second round,crunchbase,0
Shopify,Ottawa,1000,7/26/2022,,0.1,Retail,https://www.reuters.com/business/retail-consumer/shopify-lay-off-10-workforce-wsj-2022-07-26/,Post-IPO,122,Canada,,crunchbase,0
