company_fyi,ticker,announcement_date,ai_tier,ai_causal,ai_primary,ai_broad,ai_desktop,fetch_success,evidence,source_url
Salesforce,CRM,2025-02-03,1,0,0,1,0,1,"[SPECIFIC] ...n 1,000 jobs as it simultaneously hires workers to sell new artificial intelligence products, Bloomberg News reported on Monday. Displaced work...",https://finance.yahoo.com/news/salesforce-cut-1-000-roles-002028643.html
Salesforce,CRM,2025-08-31,0,0,0,0,0,0,,https://www.businessinsider.com/marc-benioff-says-salesforce-cut-4000-roles-because-of-agents-2025-9
Criteo,CRTO,2023-02-21,1,0,0,1,0,1,"[SPECIFIC] ..., with a new focus on incrementality 02 The Creator Economy AI influencer discovery tools are changing how agencies cast c...",https://digiday.com/media-buying/criteo-adds-to-the-ongoing-wave-of-ad-tech-layoffs/
Criteo,CRTO,2024-04-12,0,0,0,0,0,0,,https://www.businessinsider.com/criteo-layoffs-global-staff-job-reductions-2024-4
CrowdStrike,CRWD,2025-05-07,0,0,0,0,0,1,,https://www.wsj.com/business/crowdstrike-to-cut-5-of-workforce-8eda42ed?st=dVSJCS&reflink=desktopwebshare_permalink
Cisco,CSCO,2022-11-16,0,0,0,0,0,0,,https://www.bizjournals.com/sanjose/news/2022/11/16/cisco-announces-600m-restructuring-layoffs.html
Cisco,CSCO,2023-09-17,0,0,0,0,0,0,,https://www.marketwatch.com/story/cisco-to-cut-350-jobs-in-latest-round-of-layoffs-f9084451
Cisco,CSCO,2025-08-19,3,1,1,1,0,1,"[CAUSAL] ...ple right now,” Robbins told CNBC last week, stressing that AI was meant to boost productivity, not reduce headcount. “I just want our engineers that we have today to innovate...",https://www.sfchronicle.com/tech/article/cisco-oracle-layoffs-bay-area-20824135.php
Cue,CUE,2022-06-27,0,0,0,0,0,0,,https://www.genomeweb.com/business-news/cue-health-lay-170-people#.YrpDa-zML9t
Cue,CUE,2023-01-05,0,0,0,0,0,0,,https://www.360dx.com/business-news/cue-health-lay-388-people-cost-reduction-plan#.Y7iqquzMK8A
Carvana,CVNA,2022-05-10,2,0,1,1,0,1,[STRATEGIC] ...the needle. Tickets are limited. REGISTER NOW Most Popular Anthropic took down thousands of GitHub repos trying to yank its leak...,https://techcrunch.com/2022/05/10/carvana-to-cut-2500-staff-as-it-struggles-with-overcapacity/
Carvana,CVNA,2022-11-18,0,0,0,0,0,1,,https://www.wsj.com/articles/carvana-plans-to-lay-off-1-500-employees-cites-economic-concerns-11668793114
Sprinklr,CXM,2023-02-15,2,0,1,1,0,1,[STRATEGIC] ...the needle. Tickets are limited. REGISTER NOW Most Popular Anthropic took down thousands of GitHub repos trying to yank its leak...,https://techcrunch.com/2023/02/15/sprinklr-layoffs-2023/
Sprinklr,CXM,2024-05-03,2,0,1,1,0,1,[STRATEGIC] ...the needle. Tickets are limited. REGISTER NOW Most Popular Anthropic took down thousands of GitHub repos trying to yank its leak...,https://techcrunch.com/2024/05/03/sprinklr-lays-off-more-than-100-employees/
Sprinklr,CXM,2025-02-06,3,1,1,1,0,1,"[CAUSAL] ...d C3.ai founding member Stephen Ward as new board directors amid its shifting focus toward developing AI-led experiences. In a related announcement, Sprinklr said t...",https://techcrunch.com/2025/02/06/sprinklr-cuts-500-employees-citing-underwhelming-business-performance/
Cazoo,CZOOF,2023-01-18,0,0,0,0,0,1,,https://sifted.eu/articles/cazoo-alex-chesterman-ceo-exit/
DoorDash,DASH,2022-11-30,0,0,0,0,0,0,,https://www.reuters.com/business/retail-consumer/doordash-cuts-1250-jobs-an-effort-rein-expenses-2022-11-30/
Dayforce,DAY,2025-02-26,0,0,0,0,0,0,,https://www.marketwatch.com/story/dayforce-to-cut-about-5-of-workforce-in-efficiency-drive-2eabda38?mod=investing
Dropbox,DBX,2021-01-13,0,0,0,0,0,1,,https://www.cnbc.com/2021/01/13/dropbox-to-cut-11percent-of-its-global-workforce.html
Dropbox,DBX,2023-04-27,1,0,0,1,0,1,"[SPECIFIC] ...o longer sustainable. Second, and more consequentially, the AI era of computing has finally arrived. We’ve believed for ma...",https://blog.dropbox.com/topics/company/a-message-from-drew
Dropbox,DBX,2024-10-30,2,0,1,1,1,1,[STRATEGIC] ...the needle. Tickets are limited. REGISTER NOW Most Popular Anthropic took down thousands of GitHub repos trying to yank its leak...,https://techcrunch.com/2024/10/30/dropbox-is-laying-off-20-of-its-staff/
Dell,DELL,2023-02-06,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2023-02-06/dell-dell-lays-off-about-6-650-employees-in-latest-tech-cuts#xj4y7vzkg
Dell,DELL,2023-08-07,0,0,0,0,0,1,,https://www.crn.com/news/channel-news/dell-confirms-sales-layoffs-as-part-of-new-partner-led-storage-strategy
Dell,DELL,2024-03-25,1,0,0,1,0,1,[SPECIFIC] ...nd the corner. Last month it said it has high hopes for its artificial intelligence-enabled PCs and computer servers. It noted that orders for...,https://siliconangle.com/2024/03/25/dell-reduces-global-workforce-around-6000-jobs/
Definitive Healthcare,DH,2023-01-12,0,0,0,0,0,0,,https://www.cmlviz.com/stocks/DH/news/b/2023/01/12/definitive-healthcare-to-cut-current-workforce-by-about-55-people
Delivery Hero,DHER.DE,2021-12-22,0,0,0,0,0,1,,https://www.businessinsider.de/gruenderszene/food/nach-foodpanda-aus-delivery-hero-kuendigt-300-mitarbeitern-b/
Delivery Hero,DHER.DE,2022-11-03,0,0,0,0,0,1,,https://mobile.twitter.com/GergelyOrosz/status/1588220445039497222
Delivery Hero,DHER.DE,2023-12-18,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2023-12-18/delivery-hero-closes-hubs-in-taiwan-turkey-in-push-to-cut-costs
Delivery Hero,DHER.DE,2024-07-31,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2024-07-31/delivery-hero-to-combine-european-and-asian-businesses-cut-jobs
DHI Group,DHX,2023-05-26,0,0,0,0,0,0,,https://aimgroup.com/2023/05/26/dhi-group-to-cut-workforce-by-10/
DraftKings,DKNG,2023-02-01,0,0,0,0,0,1,,https://www.cnbc.com/2023/02/01/draftkings-cuts-140-jobs.html
Digimarc,DMRC,2023-02-17,0,0,0,0,0,1,,https://www.oregonlive.com/silicon-forest/2023/02/oregon-tech-company-digimarc-will-lay-off-17-of-its-workforce.html
Digimarc,DMRC,2025-02-27,0,0,0,0,0,1,,https://www.oregonlive.com/silicon-forest/2025/02/digimarc-shares-plunge-as-oregon-company-lays-off-40-of-its-staff.html
Ginkgo Bioworks,DNA,2024-06-20,0,0,0,0,0,1,,https://www.bostonglobe.com/2024/06/25/business/gingko-jason-kelly-mit-securities-and-exchange-commission-covid-biosecurity/
DigitalOcean,DOCN,2023-02-15,0,0,0,0,0,1,,https://www.theregister.com/2023/02/15/digitalocean_layoffs/
Doximity,DOCS,2023-08-08,0,0,0,0,0,0,,https://www.fiercehealthcare.com/health-tech/doximity-lays-10-workforce-stock-sinks-company-downgrades-revenue-guidance
DocuSign,DOCU,2022-09-28,0,0,0,0,0,1,,https://www.sfgate.com/news/article/san-francisco-tech-company-docusign-layoffs-17473918.php
DocuSign,DOCU,2024-02-06,0,0,0,0,0,1,,https://www.cnbc.com/2024/02/06/docusign-to-lay-off-6percent-of-workforce-or-about-440-jobs.html
Domo,DOMO,2020-04-09,0,0,0,0,0,1,,https://www.ksl.com/article/46740514/domo-forced-to-lay-off-10-of-workforce-due-to-economic-impact-caused-by-covid-19
Domo,DOMO,2023-11-30,0,0,0,0,0,0,,https://finance.yahoo.com/news/q3-2024-domo-inc-earnings-134921438.html
Amdocs,DOX,2023-01-02,0,0,0,0,0,1,,https://www.calcalistech.com/ctechnews/article/bj4shoeco
Amdocs,DOX,2023-07-06,0,0,0,0,0,1,,https://www.calcalistech.com/ctechnews/article/sjfzud4f3
Amdocs,DOX,2025-08-12,3,1,1,1,1,1,"[CAUSAL] ...tech. Over the next few years, entire departments could be replaced or dramatically reduced, with AI agents performing the work of hundreds of employees around...",https://www.calcalistech.com/ctechnews/article/legpd5dv7
Viant,DSP,2022-12-13,0,0,0,0,0,0,,https://www.businessinsider.com/viant-lay-off-13-percent-of-workforce-2022-12
Electronic Arts,EA,2023-02-28,0,0,0,0,0,0,,https://kotaku.com/ea-apex-legends-bugs-layoffs-respawn-zoom-1850168472
Electronic Arts,EA,2024-02-28,1,0,0,1,0,1,[SPECIFIC] ...ative? These 6 chip suppliers look set to gain big from the AI boom Jefferies says buy this under-the-radar software stock...,https://www.cnbc.com/2024/02/28/ea-layoffs-company-to-cut-5percent-of-workforce-or-about-670-employees.html
Electronic Arts,EA,2025-04-29,0,0,0,0,0,0,,https://www.bloomberg.com/news/articles/2025-04-29/electronic-arts-lays-off-hundreds-cancels-titanfall-game
Eventbrite,EB,2020-04-08,0,0,0,0,0,1,,https://layoffs.fyi/2020/04/13/eventbrite-laid-off-500-employees/
Eventbrite,EB,2023-02-28,0,0,0,0,0,0,,https://www.reuters.com/markets/us/ticketing-service-provider-eventbrite-lay-off-8-workforce-2023-02-28/
Eventbrite,EB,2024-08-07,0,0,0,0,0,0,,https://www.marketwatch.com/story/eventbrite-to-about-100-jobs-reducing-headcount-by-11-a5daf94b
eBay,EBAY,2023-02-07,0,0,0,0,0,0,,https://www.reuters.com/technology/ebay-lay-off-500-employees-2023-02-07/
eBay,EBAY,2023-12-17,0,0,0,0,0,1,,https://www.calcalistech.com/ctechnews/article/h1d3zchia
eBay,EBAY,2025-02-26,0,0,0,0,0,1,,https://www.calcalistech.com/ctechnews/article/bjgsl8n9yl
Editas Medicine,EDIT,2023-01-09,0,0,0,0,0,1,,https://endpts.com/editas-edits-pipeline-lays-off-20-and-says-bye-to-cso-to-kick-off-jpm23/
8x8,EGHT,2022-10-04,0,0,0,0,0,0,,https://www.channelfutures.com/business-models/8x8-lays-off-workers-cites-operational-efficiency
Enphase Energy,ENPH,2023-12-18,0,0,0,0,0,1,,https://enphase.com/blog/employees/dec-2023-message-from-our-ceo
Enphase Energy,ENPH,2024-11-11,1,0,0,1,1,1,[SPECIFIC] ...environment.” He added that Enphase plans to integrate more automation and artificial intelligence tools across the company and re...,https://www.sfgate.com/tech/article/enphase-energy-layoffs-workers-solar-19907535.php
Enovix,ENVX,2023-10-05,0,0,0,0,0,0,,https://www.theinformation.com/articles/the-electric-enovix-lays-off-185-engineers-and-shifts-most-of-its-operations-to-malaysia
Enovix,ENVX,2024-05-06,0,0,0,0,0,0,,https://www.theinformation.com/articles/battery-developer-enovix-lays-off-roughly-one-third-of-staff
Ericsson,ERIC,2023-02-24,0,0,0,0,0,0,,https://www.reuters.com/business/media-telecom/ericsson-lay-off-8500-employees-memo-2023-02-24/
Elastic,ESTC,2022-11-30,0,0,0,0,0,1,,https://www.elastic.co/blog/ceo-ash-kulkarni-email-to-elastic-employees
Etsy,ETSY,2023-12-13,0,0,0,0,0,1,,https://www.cnbc.com/2023/12/13/etsy-laying-off-11percent-of-staff-citing-competitive-environment.html
Everquote,EVER,2023-07-11,0,0,0,0,0,1,,https://www.insurancejournal.com/news/national/2023/07/11/729444.htm
EVgo,EVGO,2023-02-23,0,0,0,0,0,0,,https://www.businesswire.com/news/home/20230223005797/en/EVgo-Inc.-Aligns-Organization-Around-Growing-Its-Charging-Network
Expedia,EXPE,2023-03-21,0,0,0,0,0,0,,https://www.geekwire.com/2023/expedia-group-lays-off-workers-as-part-of-strategic-actions/
Expedia,EXPE,2025-02-26,0,0,0,0,0,0,,https://www.geekwire.com/2025/expedia-confirms-layoffs-at-seattle-travel-giant/
Funding Circle,FCHL.XC,2020-07-08,0,0,0,0,0,1,,https://www.altfi.com/article/6790_funding-circle-joins-bounce-back-loan-scheme-as-it-cuts-us-headcount-by-85
Funding Circle,FCHL.XC,2024-05-29,0,0,0,0,0,1,,https://markets.ft.com/data/announce/detail?dockey=600-202405290435DGAP____UKPR_____UK_Regulatory_1913105-1
F5,FFIV,2022-10-21,0,0,0,0,0,0,,https://www.geekwire.com/2022/f5-cutting-fewer-than-100-jobs-due-to-current-macroeconomic-environment/
F5,FFIV,2023-11-03,0,0,0,0,0,0,,https://www.geekwire.com/2023/seattle-cloud-giant-f5-lays-off-120-employees/
F5,FFIV,2024-09-24,0,0,0,0,0,0,,https://www.geekwire.com/2024/f5-layoffs-impact-in-house-content-creation-employees/
F5,FFIV,2025-08-13,0,0,0,0,0,0,,https://www.geekwire.com/2024/f5-confirms-new-round-of-job-cuts-continuing-annual-pattern-of-workforce-reductions/
