outcome,spec,variable,coef,se,pval,stars,N,R2,sample
"CAR[-5,+30]",DID (no controls),ai_x_post,26.940675986997125,17.132226552119057,0.1158312612677559,,182,0.03267704461752019,"Core tech, US only"
"CAR[-5,+30]",DID (no controls),const,10.869407293643047,4.979380866966191,0.029044405832462008,**,182,0.03267704461752019,"Core tech, US only"
"CAR[-5,+30]",DID + controls,ai_mentioned,-26.702313414811844,21.69117300867682,0.2183145976250861,,80,0.09591820834863984,"Core tech, US only"
"CAR[-5,+30]",DID + controls,post_chatgpt,-9.013781382016987,8.89021391944731,0.3106308208810409,,80,0.09591820834863984,"Core tech, US only"
"CAR[-5,+30]",DID + controls,ai_x_post,47.74940247011097,35.5530313623786,0.179256661191739,,80,0.09591820834863984,"Core tech, US only"
"CAR[-5,+30]",DID + controls,log_count,3.008313409417944,2.1862307606543663,0.16881315325897428,,80,0.09591820834863984,"Core tech, US only"
"CAR[-5,+30]",DID + controls,layoff_pct_n,-0.1243860872156421,0.6197830861800459,0.8409386836372753,,80,0.09591820834863984,"Core tech, US only"
"CAR[-5,+30]",DID + controls,beta_mkt_ff4,-10.719801225569345,14.002319470311367,0.4439302661119138,,80,0.09591820834863984,"Core tech, US only"
"CAR[-5,+30]",DID + controls,intl,-2.4785513332487745e-14,1.714355871591161e-14,0.14824384345397942,,80,0.09591820834863984,"Core tech, US only"
"CAR[-5,+30]",DID + controls,prior_6m_return,-5.551037751017127,10.795474053256791,0.6071118444497903,,80,0.09591820834863984,"Core tech, US only"
"CAR[-5,+30]",DID + controls,log_funds_raised,-0.7902936470167033,2.01504093081961,0.6949124262698114,,80,0.09591820834863984,"Core tech, US only"
"CAR[-5,+30]",DID + controls,const,8.389037695114684,18.363066414906022,0.6477839218589236,,80,0.09591820834863984,"Core tech, US only"
