alpha_ff4,beta_mkt_ff4,r2_ff4,n_est_obs,CAR_1_1,CAR_0_5,CAR_0_20,CAR_5_60,CAR_5_30,event_id,ticker,company_fyi,announcement_date,ai_mentioned,post_chatgpt,period,listing_region,industry,layoff_count,layoff_pct
0.0007505923040987542,0.9914651687422684,0.2599832156985521,250,0.0012531768200138233,0.008539155378105071,-0.056366160905233734,-0.12429452638941067,-0.12429452638941067,BKNG_2024-12-04,BKNG,Booking Holdings,2024-12-04,1,1,post_genai,US,Travel,60.0,
-0.0008464045746242109,1.178389227998985,0.4969901383543339,250,0.022590390871660548,0.11655512035500601,0.09067333128155657,0.17425512395891946,0.17425512395891946,BL_2023-08-23,BL,BlackLine,2023-08-23,0,1,post_genai,US,Finance,95.0,5%
2.4924245504031337e-05,0.8692477672050376,0.39268826991953665,250,-0.043431470644212454,-0.03905656557475588,-0.03166034243223734,0.16356886360546,0.16356886360546,BLKB_2023-02-14,BLKB,Blackbaud,2023-02-14,0,1,post_genai,US,Other,500.0,14%
-0.0008697371279949529,0.7944250672310158,0.2304440410800801,250,0.13592551890441235,0.08502464495605624,0.0595769179927362,0.16588042769512681,0.16588042769512681,BLND_2023-08-09,BLND,Blend,2023-08-09,0,1,post_genai,US,Finance,150.0,19%
-0.00316923436857016,0.8099688592499108,0.27948017916305623,250,0.04257704844017802,0.04831722912020613,0.20959653972903183,0.06951882585983257,0.06951882585983257,BLNK_2025-05-19,BLNK,Blink Charging,2025-05-19,1,1,post_genai,US,Other,,20%
-0.0022491197382666457,1.0437480058535304,0.2972620845548877,250,-0.14735725329900404,-0.1142251677750448,-0.07513408510461042,-0.06905406890174005,-0.06905406890174005,BMBL_2024-02-27,BMBL,Bumble,2024-02-27,0,1,post_genai,US,Consumer,350.0,30%
-0.0018092179136669445,0.9678412422026963,0.20808489260185392,250,0.24811437787605986,0.20638739170132617,0.47250845544915687,0.29387704531122927,0.29387704531122927,BMBL_2025-06-25,BMBL,Bumble,2025-06-25,0,1,post_genai,US,Consumer,240.0,30%
0.0014583762258923085,0.5972260260406377,0.3510679165894506,250,0.005351752194024033,-0.0073065189012492746,-0.09135573620175343,-0.017895606433561796,-0.017895606433561796,BMRN_2022-10-07,BMRN,BioMarin,2022-10-07,0,0,pre_genai,US,Healthcare,120.0,4%
-0.0005398853383108979,-0.014004282215790087,0.016132365322691244,250,-0.2604630754396373,-0.20161645942251058,0.4726730228725476,-0.020572443347609506,-0.020572443347609506,BTTX_2023-03-27,BTTX,Better Therapeutics,2023-03-27,0,1,post_genai,US,Healthcare,,35%
-0.001703747288742702,1.5666717563318588,0.4490910845197268,250,-0.1350362657406732,-0.018258808080319905,-0.16937648808128658,-0.4021969261652544,-0.4021969261652544,BYND_2022-08-03,BYND,Beyond Meat,2022-08-03,0,0,pre_genai,US,Food,40.0,4%
