company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30
GoodRx,GDRX,2022-08-31,0,0,0,0,-0.51439968534811,5.34171156054694,20.56770635378335
Guardant Health,GH,2023-01-25,0,0,0,1,-6.4670073875551095,-25.689836313450858,-13.387035012379
GoHealth,GOCO,2022-08-09,0,0,0,0,17.39996498904389,-1.05848561404328,18.22766522032521
Google,GOOG,2023-01-20,0,0,1,1,6.33708325535233,-4.2636675985454895,1.7649847614311098
Google,GOOG,2023-09-13,0,0,0,1,0.54755416486594,6.316297269883971,-1.0805165628264901
Google,GOOG,2025-02-27,0,1,1,1,-2.2486032430495797,0.18755948707021,-0.33725213377283997
GoPro,GPRO,2020-04-15,0,0,0,0,-4.3485096909113,12.16792114841051,30.16151959146421
GoPro,GPRO,2024-03-26,0,0,0,1,-5.69500054671686,-13.35451263323498,-11.4494081876087
Grab,GRAB,2023-06-20,0,0,0,1,0.10271138658081999,-3.9959688335418604,-2.88357928529522
Groupon,GRPN,2020-04-13,0,0,0,0,-10.03745820442353,19.22236916518238,17.373639415347743
Groupon,GRPN,2022-08-08,0,0,1,0,3.96734744758009,8.73387200525427,18.61365696705006
GitLab,GTLB,2023-02-09,0,0,0,1,-10.83908295321752,5.47372601975223,-40.21127596215992
ZoomInfo,GTM,2023-06-02,0,0,0,1,5.126842861859051,-0.29572836888,12.563303288118549
ZoomInfo,GTM,2025-06-09,0,0,0,1,-3.2430819157586903,-3.12740252517456,-0.44238055566018
Guidewire,GWRE,2022-08-11,0,0,0,0,-0.90664576174637,-9.18651077716564,-8.196118736759669
Hims & Hers,HIMS,2025-05-30,0,0,0,1,3.26923645493259,-22.31023824875188,-47.95788276877821
Robinhood,HOOD,2023-06-26,0,0,0,1,4.98829983132155,18.4680435852773,7.380373374736469
Hewlett Packard Enterprise,HPE,2025-03-06,0,0,1,1,-14.171070312932098,-22.01551977011065,-15.14686462566352
Hewlett Packard Enterprise,HPE,2025-11-05,0,0,0,1,-0.9821946484416699,-7.00488509038882,-0.22410065087849
HP,HPQ,2023-02-19,0,0,0,1,-0.53792781051894,4.2192586673896795,6.3341918559103
HP,HPQ,2025-02-28,0,0,1,1,-9.78861863441053,-11.88626136496793,-23.0932997189238
HP,HPQ,2025-11-25,0,0,1,1,-2.9518969910584,-6.979094459191559,-9.61212339222919
HubSpot,HUBS,2023-01-31,0,0,0,1,-2.69079806916986,9.07699144685579,9.14826263761433
HubSpot,HUBS,2024-01-24,0,0,0,1,-1.0752594536316,-8.4312131765441,-6.73858544692551
IAC,IAC,2024-01-10,0,0,0,1,-2.38459036537562,-1.5646236279532402,6.19398545353636
