company_fyi,ticker,announcement_date,ai_causal,ai_primary,ai_broad,post_chatgpt,CAR_1_1,CAR_0_20,CAR_5_30,beta_mkt_ff4,listing_region,layoff_count,layoff_pct,industry,event_sequence,is_first_event
Cazoo,CZOOF,2023-01-18,0,0,0,1,-24.0027689572927,-45.619149698511066,-37.13963119451691,0.5698662740361808,US,,,Transportation,1,1
DoorDash,DASH,2022-11-30,0,0,0,1,-3.4660998658444298,1.89429137313357,-10.46044112112834,1.2794914472571612,US,1250.0,6%,Food,1,1
Dayforce,DAY,2025-02-26,0,0,0,1,-0.52279427834421,3.40304341355178,2.75133503776035,1.308913682451875,US,,5%,HR,1,1
Dropbox,DBX,2021-01-13,0,0,0,0,-2.5746868784586803,-4.98536075295457,4.06343406004547,0.8582873350446505,US,315.0,15%,Other,1,1
Dell,DELL,2023-02-06,0,0,0,1,-0.31539977221315,-3.9544985394806496,6.368447429694251,1.1911221990164933,US,6650.0,5%,Hardware,1,1
Definitive Healthcare,DH,2023-01-12,0,0,0,1,-2.1679599805479297,-6.323822782202971,-11.83123602004081,0.8654661001784452,US,55.0,6%,Healthcare,1,1
DHI Group,DHX,2023-05-26,0,0,0,1,2.2080525427848,5.16224469721481,5.0060564893167,1.0071105715941897,US,53.0,10%,Recruiting,1,1
DraftKings,DKNG,2023-02-01,0,0,0,1,-5.7881005777958805,23.53896693568348,16.97529063367761,1.3094441655789366,US,140.0,4%,Consumer,1,1
Digimarc,DMRC,2023-02-17,0,0,0,1,2.16862351981674,-8.53805819380177,11.82441906404631,1.0126696644959563,US,,,Other,1,1
Ginkgo Bioworks,DNA,2024-06-20,0,0,0,1,0.3934171546863599,-44.84962748662887,-34.5971041794045,3.209041941219138,US,400.0,35%,Healthcare,1,1
DigitalOcean,DOCN,2023-02-15,0,0,0,1,19.204168054699792,20.89556541405543,36.2009846517826,1.3004160369700082,US,200.0,11%,Infrastructure,1,1
Doximity,DOCS,2023-08-08,0,0,0,1,-23.51001386099998,-27.37189385020703,-40.97167139972181,0.5961616152819659,US,100.0,10%,Healthcare,1,1
DocuSign,DOCU,2022-09-28,0,0,0,0,5.84752869470423,-3.19662742759639,0.04424621351139,1.4321046163900113,US,671.0,9%,Sales,1,1
Domo,DOMO,2020-04-09,0,0,0,0,28.641856091385232,58.46516875703768,79.2575052089662,1.2360199983838704,US,90.0,10%,Data,1,1
Amdocs,DOX,2023-01-02,0,0,0,1,0.8771851595699101,0.67889335192255,1.66316232671435,0.6138662556336368,US,700.0,3%,Support,1,1
