event_id,ticker,company_x,event_dt,CAR_CAPM_short_term,CAR_FF4_short_term,percentage_laid_off,funds_raised,ai_mentioned,company_y,prior_6m_return,n_pre,layoff_pct,funds_raised_num,log_funds_raised,year
GTM_2023-06-02,GTM,ZoomInfo,2023-06-02,0.1383467634490545,0.1379181693441831,0.03,7.0,0,ZoomInfo,-0.08302959044393066,126,0.03,7.0,1.9459101490553132,2023
GTM_2025-06-09,GTM,ZoomInfo,2025-06-09,0.1383467634490545,0.1379181693441831,0.04,7.0,0,ZoomInfo,-0.1778963071436832,126,0.04,7.0,1.9459101490553132,2025
HOOD_2022-04-26,HOOD,Robinhood,2022-04-26,0.0881182050520057,0.0977765427577459,0.09,5600.0,1,Robinhood,-0.7772113512393812,126,0.09,5600.0,8.630521876723241,2022
HOOD_2023-06-26,HOOD,Robinhood,2023-06-26,0.0881182050520057,0.0977765427577459,0.07,5600.0,0,Robinhood,0.11903926148139177,126,0.07,5600.0,8.630521876723241,2023
HPE_2025-03-06,HPE,Hewlett Packard Enterprise,2025-03-06,0.0525578903301778,0.044928475814651,0.05,1400.0,1,Hewlett Packard Enterprise,-0.23023798430842002,126,0.05,1400.0,7.24422751560335,2025
HP_2022-11-22,HP,HP,2022-11-22,0.0265483539893331,-0.0022524242616755,0.12,5250.0,0,HP,-0.02377367879145964,126,0.12,5250.0,8.565983355585669,2022
HP_2025-01-28,HP,HP,2025-01-28,0.0265483539893331,-0.0022524242616755,0.1,,1,HP,-0.18888957373223303,126,0.1,,0.0,2025
HUBS_2023-01-31,HUBS,HubSpot,2023-01-31,0.0642989284127743,0.0553366784657704,0.07,100.0,0,HubSpot,0.021744282513856517,126,0.07,100.0,4.605170185988092,2023
IBM_2026-01-26,IBM,IBM,2026-01-26,0.1374180791533739,0.1395838343392544,0.02,,0,IBM,0.1160110612171994,126,0.02,,0.0,2026
ILMN_2022-11-14,ILMN,Illumina,2022-11-14,0.0777743680705587,0.0724558497761172,0.05,28.0,0,Illumina,-0.03837678953934176,126,0.05,28.0,3.332204510175204,2022
INVZ_2024-01-31,INVZ,Innoviz,2024-01-31,0.063207423293656,0.0708390170063177,0.13,547.0,1,Innoviz,-0.6888172861787727,126,0.13,547.0,6.304448802421981,2024
INVZ_2025-02-04,INVZ,Innoviz,2025-02-04,0.063207423293656,0.0708390170063177,0.09,547.0,1,Innoviz,0.42999860875920715,126,0.09,547.0,6.304448802421981,2025
ISPO_2023-01-18,ISPO,Inspirato,2023-01-18,0.0674619830118438,0.0710000428797801,0.12,179.0,1,Inspirato,-0.7351436443046309,126,0.12,179.0,5.187385805840755,2023
ISPO_2023-07-19,ISPO,Inspirato,2023-07-19,0.0674619830118438,0.0710000428797801,0.06,179.0,1,Inspirato,-0.4616621623069541,126,0.06,179.0,5.187385805840755,2023
KLTR_2022-08-09,KLTR,Kaltura,2022-08-09,0.030462550400604,0.0463879828318176,0.1,166.0,0,Kaltura,-0.45426794704870244,126,0.1,166.0,5.111987788356544,2022
KLTR_2025-08-07,KLTR,Kaltura,2025-08-07,0.030462550400604,0.0463879828318176,0.1,166.0,1,Kaltura,-0.4032203977342462,126,0.1,166.0,5.111987788356544,2025
LAZRQ_2024-05-03,LAZRQ,Luminar,2024-05-03,0.1024433519801891,0.1046615216856385,0.2,780.0,1,Luminar,-0.6340598957588679,126,0.2,780.0,6.659293919683638,2024
LCID_2023-03-28,LCID,Lucid Motors,2023-03-28,0.0413147530144755,0.0561575573954196,0.18,8300.0,1,Lucid Motors,-0.5297033618196919,126,0.18,8300.0,9.02401079378469,2023
LCID_2024-05-24,LCID,Lucid Motors,2024-05-24,0.0413147530144755,0.0561575573954196,0.06,8300.0,1,Lucid Motors,-0.45037434667637777,126,0.06,8300.0,9.02401079378469,2024
LCID_2026-02-20,LCID,Lucid Motors,2026-02-20,0.0413147530144755,0.0561575573954196,0.12,8300.0,1,Lucid Motors,-0.5951086750125316,126,0.12,8300.0,9.02401079378469,2026
LC_2023-01-12,LC,Lending Club,2023-01-12,0.0832569430068592,0.0998110393485471,0.14,392.0,0,Lending Club,-0.31370856601910446,126,0.14,392.0,5.971261839790462,2023
