ticker,announcement_date,prior_6m_return
VSAT,2023-04-12,0.07408662292368873
VSAT,2023-11-02,-0.36511696051432363
W,2022-08-19,-0.5729414100194432
W,2024-01-19,-0.13797960484156302
W,2025-01-10,-0.09116467841526854
WBX,2023-01-19,-0.6214128136980455
WDAY,2023-01-31,0.1879041000714563
WDAY,2025-02-05,0.10211435740739794
WDC,2022-11-22,-0.3522023298660173
WDC,2023-05-24,-0.051918763494827824
WEW.DE,2022-09-29,-0.567359256655616
WEX,2024-06-18,0.04677763292096371
WIX,2022-08-09,-0.5326644945024785
WIX,2023-02-15,0.435313622888591
WTC.AX,2025-07-23,-0.10432386336315225
XP,2023-01-17,-0.15089077187361166
XRX,2023-03-09,-0.04658079887531397
XRX,2024-01-03,0.26181906538442745
XYZ,2023-10-04,-0.33154363440186874
XYZ,2025-03-25,-0.1523691525796148
YELP,2020-04-09,-0.38779074035508154
YEXT,2023-01-23,0.21764708907271735
YEXT,2024-06-05,-0.15725193584960362
Z,2021-11-02,-0.334365309354828
Z,2022-10-26,-0.4274045289655224
Z,2023-11-07,-0.13450291645023305
Z,2025-01-10,0.6675364131876955
ZAL.DE,2023-02-21,0.3473222689193114
ZBRA,2023-08-28,-0.1725423159541083
ZBRA,2025-12-12,-0.14358974358974075
ZIP,2023-05-31,-0.11851411460556494
ZIP,2025-09-16,-0.10714284193758827
ZM,2023-02-07,-0.33392774107919
ZM,2024-02-01,-0.059905947761231704
ZS,2023-03-02,-0.2505090671431166
