ticker,announcement_date,prior_6m_return
INTC,2025-02-04,-0.3798014276686751
INTU,2020-06-22,0.1378333760922965
INTU,2024-07-10,0.01621286383179954
INVZ,2024-01-31,-0.43465044502386196
INVZ,2025-02-04,0.8000000529819142
IPSC,2023-01-09,-0.3721649203775307
ISPC,2023-09-06,-0.31428571428571206
JMIA,2022-11-21,-0.23913042673444918
JTKWY,2022-07-20,-0.7385687821632411
KD,2023-03-30,0.25645753633200363
KLTR,2022-08-09,-0.2507836796132662
KLTR,2025-08-07,-0.14347823067287924
KXS.TO,2024-05-08,0.14342471827641123
LAW,2023-01-19,-0.7148915934729836
LAZRQ,2024-05-03,-0.6956521725776447
LAZRQ,2025-05-20,-0.701122732752838
LMND,2022-04-20,-0.5375787763977562
LMND,2023-05-16,-0.5011027621723023
LOGI,2023-03-22,0.08202315284784989
LPSN,2020-11-01,1.6606433716870708
LPSN,2022-09-15,-0.5199829592882672
LRCX,2023-01-25,0.13286245909281624
LSPD.TO,2023-01-17,-0.3269565084706151
LSPD.TO,2024-04-03,-0.13791441641225166
LSPD.TO,2024-12-02,0.18491490440331426
LTCH,2022-05-10,-0.6385169951932252
LTCH,2023-07-10,1.249191021225339
LUCD,2023-01-18,-0.41630898762351465
LYFT,2020-04-29,-0.22755477957358639
LYFT,2022-07-20,-0.6723613351279866
LYFT,2024-09-04,-0.35231711444453806
LZ,2023-10-19,0.13397642124561826
LZ,2024-08-07,-0.37215648416110714
MBLY,2024-09-09,-0.3751030624738422
MBLY,2025-12-08,-0.3264539955018041
MDT,2023-04-12,-0.019625025404185092
MDT,2024-06-13,0.04877069646359922
MDT,2025-10-27,0.17486102143641413
META,2022-11-09,-0.24006641962428021
META,2023-10-04,0.5422378256072489
META,2024-10-16,0.16129408082257335
META,2025-10-22,0.3832646223274576
MGNI,2023-01-19,0.04636465170386361
MMYT,2020-06-01,-0.519035058476085
MP1.AX,2023-01-05,0.3689515946838098
MQ,2023-05-09,-0.4283746605326739
MRVL,2023-03-21,-0.07783376675567133
MSFT,2022-07-12,-0.193042286644156
MSFT,2024-01-25,0.13498955990328176
MTCH,2023-02-01,-0.2739137219922796
MTCH,2024-07-31,-0.06697404912403992
MTCH,2025-05-08,-0.21950497162226268
MU,2023-01-01,-0.0501381523349671
MU,2025-08-12,0.08052812672025667
NCC.L,2023-02-02,-0.04670047815503864
NCC.L,2023-08-10,-0.4818323449470139
NCNO,2023-01-18,-0.17939169669960975
NCNO,2025-05-27,-0.36005323102832987
NET,2024-01-11,0.3414672567941104
NFLX,2022-04-28,-0.44938713903623484
NIO,2023-11-03,-0.07125600178479607
NPK,2023-11-20,0.1318855747364449
NRDS,2024-07-30,0.06676140192834845
NRDY,2022-12-08,0.05238101833802533
NTAP,2023-01-31,-0.004169287046144721
NTAP,2025-04-30,-0.32635842011840976
NTES,2025-02-22,0.20351664475367026
NTNX,2022-08-09,-0.44590535180370605
NTRA,2022-11-22,0.43303112838972413
NXDR,2023-11-07,-0.189814847008678
NXDR,2025-08-07,-0.20731706607916012
NYAX,2025-07-07,0.6742479459443775
OCDO.L,2023-12-31,0.4803403008237557
OKTA,2022-08-26,-0.4756472201814441
OKTA,2024-02-01,0.15542070448049672
OKTA,2025-02-04,-0.07059196531809298
OPAD,2022-11-11,-0.8246062951918984
OPEN,2022-11-02,-0.7086247060337785
OPEN,2024-11-07,-0.1953488640297787
OPRT,2023-02-09,-0.3195990595793702
OPRT,2023-11-07,0.5328084620199243
