ticker,funds_raised,log_funds_raised
FT,76.0,4.343805421853684
FRSH,484.0,6.184148890937483
FUBO,151.0,5.0238805208462765
FCHL.XC,746.0,6.616065185132817
GETR,948.0,6.855408798609928
DNA,1600.0,7.3783837129967145
GTLB,413.0,6.025865973825314
GLOO,152.0,5.030437921392435
GM,,
GDDY,800.0,6.68586094706836
GOCO,75.0,4.330733340286331
FOOD.TO,16.0,2.833213344056216
GDRX,910.0,6.814542897259958
GOOG,26.0,3.295836866004329
GPRO,288.0,5.666426688112432
G,1300.0,7.170888478512505
GRAB,16500.0,9.711176264112805
GRAL,,
GRPN,1400.0,7.244941546337007
GH,550.0,6.311734809152915
GWRE,24.0,3.2188758248682006
HCP,349.0,5.857933154483459
HFG.DE,367.0,5.908082938168931
HPE,1400.0,7.244941546337007
HPQ,,
HIMS,1200.0,7.0909098220799835
HIPO,1300.0,7.170888478512505
HI,1300.0,7.170888478512505
HMPT,,
FIXX,187.0,5.236441962829949
HP,5250.0,8.566173813637858
HUBS,100.0,4.61512051684126
IAC,,
IBM,,
IBTA,93.0,4.543294782270004
ICAD.PA,59.0,4.0943445622221
ILMN,28.0,3.367295829986474
PI,137.0,4.927253685157205
IFX.DE,1500.0,7.313886831633462
INFA,,
CTV,295.0,5.69035945432406
INVZ,547.0,6.306275286948016
ISPO,179.0,5.19295685089021
CART,2900.0,7.972810784121404
INTC,12.0,2.5649493574615367
ISRG,18.0,2.9444389791664403
NVTAQ,2000.0,7.601402334583733
IRBT,30.0,3.4339872044851463
IRNT,410.0,6.018593214496234
ISPC,31.0,3.4657359027997265
JAMF,332.0,5.808142489980444
JD,5100.0,8.537191877922927
JMIA,1200.0,7.0909098220799835
JNPR,39.0,3.6888794541139363
GRUB,,
TKWY,2800.0,7.937731775260109
JW,,
KLTR,166.0,5.117993812416755
KAPE,188.0,5.241747015059643
KT,188.0,5.241747015059643
KSPN,52.0,3.970291913552122
KXS.TO,79.0,4.382026634673881
KVYO,778.0,6.658011045870748
KS,17.0,2.8903717578961645
KGN.AX,,
KD,,
LRCX,,
LTCH,342.0,5.8377304471659395
L,130.0,4.875197323201151
LDTCW,402.0,5.998936561946683
LZ,951.0,6.858565034791365
LEBGF,3.0,1.3862943611198906
LMND,481.0,6.1779441140506
LC,392.0,5.973809611869261
TREE,,
0992.HK,850.0,6.7464121285733745
LIF,158.0,5.0689042022202315
LSPD,1200.0,7.0909098220799835
LILMF,1400.0,7.244941546337007
LPSN,42.0,3.7612001156935624
RAMP,16.0,2.833213344056216
LOGI,,
LUCD,,
LCID,8300.0,9.024131268455035
LH,132.0,4.890349128221754
LAZRQ,780.0,6.660575149839686
LYFT,4900.0,8.497194544909547
MGNI,400.0,5.993961427306569
HONASA,111.0,4.718498871295094
MRDB,245.0,5.5053315359323625
MS,99.0,4.605170185988092
MKFG,347.0,5.8522024797744745
MQ,530.0,6.274762021241939
MRVL,,
MTCH,,
MTTR,409.0,6.016157159698354
MDT,5900.0,8.682877107057168
92J.F,98.0,4.59511985013459
MELI,5100.0,8.537191877922927
MLNK,485.0,6.186208623900494
META,26000.0,10.165890277802454
MU,50.0,3.9318256327243257
MSFT,1.0,0.6931471805599453
MVIS,415.0,6.030685260261263
MB,114.0,4.74493212836325
MFLTY,1700.0,7.438971592395862
DE000A3CSAE2.SG,158.0,5.0689042022202315
MBLY,2100.0,7.650168700845001
GB00BKX8NT01.SG,,
NABL,225.0,5.420534999272286
NSTGQ,826.0,6.717804695023691
NTRA,809.0,6.697034247666484
NI,,
NAUT,,
NYAX,245.0,5.5053315359323625
NCC.L,,
NCNO,1100.0,7.00397413672268
036570.KS,240.0,5.484796933490655
NGNE,157.0,5.062595033026967
NRDS,105.0,4.663439094112067
NRDY,150.0,5.017279836814924
NTAP,,
NTES,,
NFLX,121900.0,11.710964518881163
NVRO,556.0,6.322565239927284
NR,214.0,5.3706380281276624
NWS,,
NXDR,736.0,6.602587892189336
NKLA,3300.0,8.101980731853192
NIO,7200.0,8.881975184248867
NOK,,
NU,4100.0,8.31898612539206
SMR,470.0,6.154858094016418
NTNX,1100.0,7.00397413672268
OTLY,441.0,6.091309882077698
OCDO.L,2000.0,7.601402334583733
OPAD,355.0,5.87493073085203
OKTA,1200.0,7.0909098220799835
OLAELEC.BO,1700.0,7.438971592395862
OLOX,184.0,5.220355825078324
OPEN,1900.0,7.550135342488429
OPY,299.0,5.703782474656201
OTEX,1100.0,7.00397413672268
OPRT,566.0,6.340359303727752
ORCL,,
OTMO,231.0,5.44673737166631
OTOVO.OL,247.0,5.5134287461649825
OUST,282.0,5.645446897643238
852.SG,394.0,5.978885764901122
OWLT,178.0,5.187385805840755
PGY,571.0,6.349138991379798
PAGS,,
PD,173.0,5.159055299214529
PLTR,3000.0,8.006700845440367
PAYC,,
PAYO,,
PYPL,216.0,5.37989735354046
PAYTM.NS,,
PT,409.0,6.016157159698354
PEGA,,
PTON,1900.0,7.550135342488429
PERI,76.0,4.343805421853684
PSNL,225.0,5.420534999272286
PHG,,
PHUN,87.0,4.477336814478207
PINS,1500.0,7.313886831633462
PL,574.0,6.354370040797351
PLTK,,
NPK,167.0,5.123963979403259
PCOR,654.0,6.484635235635252
PGRU,676.0,6.517671272912275
PRX.AS,,
PTRAQ,1200.0,7.0909098220799835
PUBM,63.0,4.1588830833596715
PSTG,529.0,6.272877006546167
QCOM,,
Q,400.0,5.993961427306569
QS,175.0,5.170483995038151
QTRX,533.0,6.280395838960195
QSI,425.0,6.054439346269371
