company_fyi,ticker,confidence,status,period,announcement_date,edgar_8k_date,layoff_count,layoff_pct,industry,country,source_url,match_src,ticker_edgar,ticker_yfinance,yf_name,cik,ai_mentioned,ai_evidence,listing_region,benchmark_index,event_study_usable,exclusion_reason
Tricida,,NONE,DELISTED,pre_genai,2022-11-14,2020-10-29,,57%,Healthcare,United States,https://seekingalpha.com/pr/19020683-tricida-announces-third-quarter-2022-financial-results,EDGAR_exact,,,,1595585.0,0,,UNKNOWN,^GSPC,False,
Deliveroo Australia,,NONE,DELISTED,pre_genai,2022-11-15,,120.0,100%,Food,Australia,https://www.abc.net.au/news/2022-11-16/deliveroo-enters-voluntary-administration/101661932,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Rubicon Technologies,,NONE,DELISTED,pre_genai,2022-11-15,2022-11-18,,11%,Other,United States,https://www.sec.gov/Archives/edgar/data/1862068/000182912622019365/rubicontech_8k.htm,EDGAR_exact,,,,1862068.0,0,,UNKNOWN,^GSPC,False,
Whispir,,NONE,DELISTED,pre_genai,2022-11-15,,,30%,Other,Australia,https://www.afr.com/technology/whispir-cuts-30pc-of-staff-shares-surge-40pc-20221115-p5byfw,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Homepoint,,NONE,DELISTED,pre_genai,2022-11-17,,113.0,,Real Estate,United States,https://www.bizjournals.com/phoenix/news/2022/11/17/homepoint-laying-off-az-employees-interest-rates.html,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
SQZ Biotech,,NONE,DELISTED,pre_genai,2022-12-01,,,60%,Healthcare,United States,https://www.fiercebiotech.com/biotech/sqz-ceo-exits-biotech-axes-60-staff-synlogic-succumbs-layoff-pressure,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Otonomo,,NONE,DELISTED,pre_genai,2022-12-08,,80.0,50%,Transportation,Israel,https://www.calcalistech.com/ctechnews/article/bjbvjqyoi,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Blue Apron,,NONE,DELISTED,pre_genai,2022-12-08,2023-03-16,,10%,Food,United States,https://investors.blueapron.com/press-releases/2022/12-08-2022-140712547,EDGAR_exact,,,,1701114.0,0,,UNKNOWN,^GSPC,False,
N-able Technologies,,NONE,DELISTED,pre_genai,2022-12-09,,,,Other,United States,,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
JD.ID,,NONE,DELISTED,pre_genai,2022-12-14,,200.0,30%,Retail,Indonesia,https://jakartaglobe.id/business/jdid-layoffs-reflect-struggles-in-indonesian-startup-industry,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
Quanergy Systems,,NONE,DELISTED,pre_genai,2022-12-14,2022-11-15,72.0,,Transportation,United States,https://www.bizjournals.com/sanjose/news/2022/12/14/quanergy-to-cut-72-jobs-in-sunnyvale.html,EDGAR_exact,,,,1794621.0,0,,UNKNOWN,^GSPC,False,
Twitter,,NONE,DELISTED,post_genai,2023-01-05,,40.0,,Consumer,United States,https://www.theinformation.com/articles/musk-lays-off-twitter-engineers-working-on-advertising-as-ad-revenue-shrinks,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
TCR2,,NONE,DELISTED,post_genai,2023-01-05,,,40%,Healthcare,United States,https://www.cmlviz.com/stocks/TCRR/news/b/2023/01/05/tcr2-therapeutics-to-be-streamlined-with-about-40-reduction-in-workforce,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
WalkMe,,NONE,DELISTED,post_genai,2023-01-08,,43.0,3%,Other,United States,https://www.calcalistech.com/ctechnews/article/bkzauhoqo,yfinance_only,,,,,0,,UNKNOWN,^GSPC,False,
